Time [s],Current [A],Voltage [V],Discharge capacity [A.h],Cycle,Step
13397.148229332124,-2.5,3.986957720380749,1.9771862703695327,2.0,0.0
13398.148229332124,-2.5,3.9870802110979406,1.9764918259250883,2.0,0.0
13399.148229332124,-2.5,3.9872027361206293,1.9757973814806438,2.0,0.0
13400.148229332124,-2.5,3.9873252954488136,1.9751029370361994,2.0,0.0
13401.148229332124,-2.5,3.9874478890824943,1.9744084925917549,2.0,0.0
13402.148229332124,-2.5,3.9875705170216715,1.9737140481473106,2.0,0.0
13403.148229332124,-2.5,3.987693179266344,1.973019603702866,2.0,0.0
13404.148229332124,-2.5,3.9878158758165134,1.9723251592584217,2.0,0.0
13405.148229332124,-2.5,3.9879386344983265,1.9716307148139773,2.0,0.0
13406.148229332124,-2.5,3.9880616807763283,1.970936270369533,2.0,0.0
13407.148229332124,-2.5,3.9881847705549376,1.9702418259250885,2.0,0.0
13408.148229332124,-2.5,3.988307903834154,1.9695473814806441,2.0,0.0
13409.148229332124,-2.5,3.9884310806139793,1.9688529370361996,2.0,0.0
13410.148229332124,-2.5,3.9885543008944113,1.9681584925917552,2.0,0.0
13411.148229332124,-2.5,3.9886775646754495,1.9674640481473107,2.0,0.0
13412.148229332124,-2.5,3.988800871957096,1.9667696037028664,2.0,0.0
13413.148229332124,-2.5,3.9889242227393504,1.9660751592584218,2.0,0.0
13414.148229332124,-2.5,3.9890476170222122,1.9653807148139775,2.0,0.0
13415.148229332124,-2.5,3.989171054805681,1.964686270369533,2.0,0.0
13416.148229332124,-2.5,3.9892945360897567,1.9639918259250886,2.0,0.0
13417.148229332124,-2.5,3.989418060874441,1.963297381480644,2.0,0.0
13418.148229332124,-2.5,3.9895416291597328,1.9626029370361997,2.0,0.0
13419.148229332124,-2.5,3.989665240945631,1.9619084925917551,2.0,0.0
13420.148229332124,-2.5,3.9897888962321373,1.9612140481473108,2.0,0.0
13421.148229332124,-2.5,3.989912595019252,1.9605196037028663,2.0,0.0
13422.148229332124,-2.5,3.9900363373069725,1.959825159258422,2.0,0.0
13423.148229332124,-2.5,3.9901601230953014,1.9591307148139774,2.0,0.0
13424.148229332124,-2.5,3.990283952384236,1.958436270369533,2.0,0.0
13425.148229332124,-2.5,3.9904078251737802,1.9577418259250885,2.0,0.0
13426.148229332124,-2.5,3.990531741463931,1.9570473814806442,2.0,0.0
13427.148229332124,-2.5,3.9906557012546893,1.9563529370361996,2.0,0.0
13428.148229332124,-2.5,3.990779704546055,1.9556584925917553,2.0,0.0
13429.148229332124,-2.5,3.990903751338029,1.9549640481473107,2.0,0.0
13430.148229332124,-2.5,3.9910278416306095,1.9542696037028664,2.0,0.0
13431.148229332124,-2.5,3.991151975423798,1.9535751592584218,2.0,0.0
13432.148229332124,-2.5,3.9912761527175933,1.9528807148139775,2.0,0.0
13433.148229332124,-2.5,3.9914003735119965,1.952186270369533,2.0,0.0
13434.148229332124,-2.5,3.9915246378070064,1.9514918259250886,2.0,0.0
13435.148229332124,-2.5,3.9916489456026243,1.950797381480644,2.0,0.0
13436.148229332124,-2.5,3.9917732968988497,1.9501029370361997,2.0,0.0
13437.148229332124,-2.5,3.9918976916956828,1.9494084925917552,2.0,0.0
13438.148229332124,-2.5,3.9920221299931233,1.9487140481473109,2.0,0.0
13439.148229332124,-2.5,3.9921466117911706,1.9480196037028663,2.0,0.0
13440.148229332124,-2.5,3.9922711370898263,1.947325159258422,2.0,0.0
13441.148229332124,-2.5,3.9923957058890887,1.9466307148139774,2.0,0.0
13442.148229332124,-2.5,3.9925203181889586,1.945936270369533,2.0,0.0
13443.148229332124,-2.5,3.992644973989436,1.9452418259250885,2.0,0.0
13444.148229332124,-2.5,3.992769673290521,1.944547381480644,2.0,0.0
13445.148229332124,-2.5,3.9928944160922137,1.9438529370361997,2.0,0.0
13446.148229332124,-2.5,3.993019202394514,1.943158492591755,2.0,0.0
13447.148229332124,-2.5,3.993144032197421,1.9424640481473108,2.0,0.0
13448.148229332124,-2.5,3.9932689055009356,1.9417696037028662,2.0,0.0
13449.148229332124,-2.5,3.993393822305058,1.941075159258422,2.0,0.0
13450.148229332124,-2.5,3.9935187826097875,1.9403807148139773,2.0,0.0
13451.148229332124,-2.5,3.9936437864151246,1.939686270369533,2.0,0.0
13452.148229332124,-2.5,3.9937688337210697,1.9389918259250885,2.0,0.0
13453.148229332124,-2.5,3.9938939245276206,1.9382973814806441,2.0,0.0
13454.148229332124,-2.5,3.9940190588347804,1.9376029370361996,2.0,0.0
13455.148229332124,-2.5,3.9941442366425477,1.9369084925917552,2.0,0.0
13456.148229332124,-2.5,3.9942694579509217,1.9362140481473107,2.0,0.0
13457.148229332124,-2.5,3.994394722759904,1.9355196037028664,2.0,0.0
13458.148229332124,-2.5,3.9945200310694924,1.9348251592584218,2.0,0.0
13459.148229332124,-2.5,3.994645382879689,1.9341307148139775,2.0,0.0
13460.148229332124,-2.5,3.9947707781904938,1.933436270369533,2.0,0.0
13461.148229332124,-2.5,3.994896217001905,1.9327418259250886,2.0,0.0
13462.148229332124,-2.5,3.9950216993139245,1.932047381480644,2.0,0.0
13463.148229332124,-2.5,3.9951472251265505,1.9313529370361997,2.0,0.0
13464.148229332124,-2.5,3.995272794439785,1.9306584925917551,2.0,0.0
13465.148229332124,-2.5,3.9953984287760815,1.929964048147311,2.0,0.0
13466.148229332124,-2.5,3.9955242243298015,1.9292696037028667,2.0,0.0
13467.148229332124,-2.5,3.9956500679300992,1.9285751592584222,2.0,0.0
13468.148229332124,-2.5,3.9957759595769726,1.9278807148139778,2.0,0.0
13469.148229332124,-2.5,3.9959018992704225,1.9271862703695333,2.0,0.0
13470.148229332124,-2.5,3.996027887010448,1.926491825925089,2.0,0.0
13471.148229332124,-2.5,3.996153922797051,1.9257973814806444,2.0,0.0
13472.148229332124,-2.5,3.9962800066302293,1.9251029370362,2.0,0.0
13473.148229332124,-2.5,3.9964061385099843,1.9244084925917555,2.0,0.0
13474.148229332124,-2.5,3.996532318436316,1.9237140481473112,2.0,0.0
13475.148229332124,-2.5,3.9966585464092237,1.9230196037028666,2.0,0.0
13476.148229332124,-2.5,3.996784822428708,1.9223251592584223,2.0,0.0
13477.148229332124,-2.5,3.996911146494768,1.9216307148139777,2.0,0.0
13478.148229332124,-2.5,3.9970375186074056,1.9209362703695334,2.0,0.0
13479.148229332124,-2.5,3.997163938766618,1.9202418259250889,2.0,0.0
13480.148229332124,-2.5,3.9972904069724082,1.9195473814806443,2.0,0.0
13481.148229332124,-2.5,3.9974169232247734,1.9188529370362,2.0,0.0
13482.148229332124,-2.5,3.997543487523717,1.9181584925917554,2.0,0.0
13483.148229332124,-2.5,3.997670099869235,1.917464048147311,2.0,0.0
13484.148229332124,-2.5,3.9977967602613296,1.9167696037028665,2.0,0.0
13485.148229332124,-2.5,3.9979234687000007,1.9160751592584222,2.0,0.0
13486.148229332124,-2.5,3.9980502251852488,1.9153807148139776,2.0,0.0
13487.148229332124,-2.5,3.9981770297170725,1.9146862703695333,2.0,0.0
13488.148229332124,-2.5,3.9983038822954735,1.9139918259250888,2.0,0.0
13489.148229332124,-2.5,3.99843078292045,1.9132973814806444,2.0,0.0
13490.148229332124,-2.5,3.998557731592002,1.9126029370361999,2.0,0.0
13491.148229332124,-2.5,3.9986847283101317,1.9119084925917555,2.0,0.0
13492.148229332124,-2.5,3.998811773074838,1.911214048147311,2.0,0.0
13493.148229332124,-2.5,3.998938865886119,1.9105196037028667,2.0,0.0
13494.148229332124,-2.5,3.999066006743978,1.9098251592584221,2.0,0.0
13495.148229332124,-2.5,3.999193195648413,1.9091307148139778,2.0,0.0
13496.148229332124,-2.5,3.999320432599424,1.9084362703695332,2.0,0.0
13497.148229332124,-2.5,3.9994477175970107,1.907741825925089,2.0,0.0
13498.148229332124,-2.5,3.999575050641175,1.9070473814806443,2.0,0.0
13499.148229332124,-2.5,3.999702431731915,1.9063529370362,2.0,0.0
13500.148229332124,-2.5,3.999829860869231,1.9056584925917555,2.0,0.0
13501.148229332124,-2.5,3.999957338053124,1.9049640481473111,2.0,0.0
13502.148229332124,-2.5,4.000084863283593,1.9042696037028666,2.0,0.0
13503.148229332124,-2.5,4.000212436560639,1.9035751592584222,2.0,0.0
13504.148229332124,-2.5,4.00034005788426,1.9028807148139777,2.0,0.0
13505.148229332124,-2.5,4.000467727254458,1.9021862703695334,2.0,0.0
13506.148229332124,-2.5,4.000595444671234,1.9014918259250888,2.0,0.0
13507.148229332124,-2.5,4.000723210134584,1.9007973814806445,2.0,0.0
13508.148229332124,-2.5,4.000851023644511,1.9001029370362,2.0,0.0
13509.148229332124,-2.5,4.000978885201015,1.8994084925917556,2.0,0.0
13510.148229332124,-2.5,4.001106794804095,1.898714048147311,2.0,0.0
13511.148229332124,-2.5,4.001234752453751,1.8980196037028667,2.0,0.0
13512.148229332124,-2.5,4.001362758149982,1.8973251592584222,2.0,0.0
13513.148229332124,-2.5,4.001490811892792,1.8966307148139778,2.0,0.0
13514.148229332124,-2.5,4.001618913682178,1.8959362703695333,2.0,0.0
13515.148229332124,-2.5,4.00174706351814,1.895241825925089,2.0,0.0
13516.148229332124,-2.5,4.001875261400677,1.8945473814806444,2.0,0.0
13517.148229332124,-2.5,4.002003507329792,1.8938529370362,2.0,0.0
13518.148229332124,-2.5,4.002131801305482,1.8931584925917555,2.0,0.0
13519.148229332124,-2.5,4.002260143327749,1.8924640481473112,2.0,0.0
13520.148229332124,-2.5,4.002388533396593,1.8917696037028666,2.0,0.0
